Wb,Hb,count,percent,bucket_area,mean_overhead,mean_area,examples
20,20,225,17.241379,400,1.292565,318.155556,142ca369;269e22fb;2b83f449;31f7f899;332f06d7
10,10,203,15.555556,100,1.057593,95.305419,28a6681f;d35bdbdc;007bbfb7;03560426;0692e18c
30,30,158,12.107280,900,1.138446,804.101266,0934a4d8;135a2760;13e47133;16b78196;195c6913
15,15,129,9.885057,225,1.128257,201.992248,dbff022c;e8686506;009d5c81;0b17323b;0e671a1a
12,12,76,5.823755,144,1.068508,135.644737,b6f77b65;dd6b8c4b;faa9f03d;09629e4f;0962bcdd
24,24,53,4.061303,576,1.168899,496.415094,1818057f;2ba387bc;35ab12c3;4c416de3;581f7754
6,6,42,3.218391,36,1.129524,32.690476,00576224;1e0a9b12;2072aba6;31d5ba1a;3618c87e
20,15,38,2.911877,300,1.204377,251.526316,1ae2feb7;247ef758;0a2355a6;13f06aa5;15663ba9
8,8,36,2.758621,64,1.134921,57.277778,05269061;1478ab18;239be575;28bf18c6;3aa6fb7a
30,24,25,1.915709,720,1.164654,622.000000,2c181942;58490d8a;80a900e0;8b9c3697;0a938d79
15,12,22,1.685824,180,1.136999,158.909091,20270e3b;3dc255db;11e1fe23;12997ef3;1a2e2828
4,4,19,1.455939,16,1.654971,10.105263,0d3d703e;25d8a9c8;25ff71a9;27a28665;3c9b0459
12,10,18,1.379310,120,1.075196,112.166667,150deff5;3cd86f4f;4852f2fa;56ff96f3;67c52801
24,20,18,1.379310,480,1.210345,399.611111,58f5dbd5;2c608aff;447fd412;50846271;6cdd2623
24,30,16,1.226054,720,1.182000,613.625000,7c66cb00;8f215267;d8e07eb2;db695cfb;e87109e9
10,12,13,0.996169,120,1.079254,112.000000,10fcaaa3;8597cfd7;AboveBelow3;Center9;CompleteShape1
15,20,13,0.996169,300,1.235143,245.538462,136b0064;0bb8deee;25d487eb;4364c1c4;84f2aca1
30,20,13,0.996169,600,1.185217,513.153846,1a07d186;1da012fc;4938f0c2;57aa92db;5833af48
15,10,10,0.766284,150,1.131929,133.400000,363442ee;37ce87bb;5ffb2104;6a1e5592;AboveBelow6
20,30,9,0.689655,600,1.187364,518.888889,53fb4810;6e453dd6;7b5033c1;070dd51e;40853293
6,4,8,0.613027,24,1.441667,17.250000,5ad8a7c0;6d0aefbc;a9f96cdd;c8f0f002;c9e6f938
